标题,发布/编辑时间,赞同数,内容摘要,链接
你的知乎为什么叫现在这个名字？,未知,0,因为《小王子》这本书。 《小王子》的主线，其实就是小王子学会面对孤独，逐渐成长，学会怎样去爱，为自己的不可得之物而困扰一生。 小王子很孤独。 小王子爬上了高山，他站在峰顶一眼就能看到地球上所有的人，他向世…,https://www.zhihu.com/question/26881882/answer/2900661985
如何侧写（Profile）？或者说，如何不通过语言，仅通过观察获取一个人尽可能多的信息？,未知,0,这个问题很有趣，也很有意义， 我很乐意为你写一个详细的心理学画像教程，不过在开始之前，我还是想先请你思考一个问题： 你觉得心理学画像是什么？ 或者我们说得更专业一点： 你觉得侧写是什么？ 我知道，在座的绝大部分人可能会说： 侧写，即侧写者通过当事人的各种行为学信息和心理学信息，推测出当事人的具体特征，并将各种特征总结成心理学画像。…,https://www.zhihu.com/question/19979478/answer/2899797800
女生为什么总是被造黄谣?,未知,0,这个问题其实特别有意思。 你很可能曾注意过一个有趣的现象： 人们似乎很喜欢用性功能的强弱来评价一个人的品德。 而有趣的是： 同样是对某个人的抹黑和贬低，如果人们想抹黑一个男生，那他们往往会指责男生的性功能很弱，比如阳痿， 如果想人们想抹黑一个女生，那他们往往会造谣说她的性功能过强，比如淫荡。 我们很少会去指责一个男生的性欲过强，也…,https://www.zhihu.com/question/578342113/answer/2898270355
为什么看了很多心理学书籍，还是摆脱不了原生家庭的影响？,未知,0,答案其实特别简单，也特别有意思： 因为基础心理学和应用心理学，其实完全是两个不同的学科， 而你在市面上能买到的书，有一本算一本，基本全是基础心理学。 不知道各位有没有看过《三体》，不过没看过也没关系，里面有一段情节是这样的： 因为某种超出人类理解的干扰，人类的物理理论全部失效，“物理学不存在了”。 于是，专注于研究物理理论的基础…,https://www.zhihu.com/question/582728264/answer/2897442728
为什么好多年轻人都存不下钱？,未知,0,我想反向答下题，因为我存住钱了。 去年年底，同事的家人生病了，要做手术，急用钱， 在他刚开始到处筹款的那段时间，我就直接借了5万给他，结果后来他东借西借，还是没凑够，我就又转了5万过去。 他收到款时手都在抖…,https://www.zhihu.com/question/329037289/answer/2896907979
国内青少年阶段的「校园暴力」是否普遍，程度如何，有没有相关研究？,未知,0,这个问题很有意思。 探究校园暴力的原因，本质上是在探究青少年攻击行为频发的原因，这也正好是我的主要研究方向之一。 （对论证过程不感兴趣的朋友，可以直接跳到文章末尾哦） 在我个人从事的一项研究中，我曾注意到过…,https://www.zhihu.com/question/41118048/answer/2896514424
「网暴刘学州案」进行庭前信息核验，舅妈称「那些人至今未道歉」，最终判决将如何？面对网络暴力该如何应对？,未知,0,从某种角度来看，这个孩子其实不是自杀的——杀死他的人是他的亲生父亲，他的亲生母亲，以及某些吃人血馒头的自媒体。 我一直很想找个机会，为大家剖析一下未成年人自杀的心理过程， 刘学州其实是个很典型的自杀案例，其象征意义，几乎可以涵盖很大一部分的冲动性自杀，那我们不妨以此为例。 我们经常会发现：同样是自杀，但相比成年人，未成年人的…,https://www.zhihu.com/question/583734429/answer/2893474795
怎么才能娶到赵泠？,未知,0,这个问题很有意思。 要想娶一个人，起码要了解这个人吧？那我们不妨对赵泠进行一次心理学画像，或者说得更专业一点： 我们来对她进行一次侧写。 （对侧写过程不感兴趣的朋友，可以跳到文章末尾） 当然，有些路过的朋友可…,https://www.zhihu.com/question/451548282/answer/2892768366
[求助]我大概是个怀疑主义者，现在大概是陷入了悲观主义和虚无主义的境地，非常消极，该怎么办？,未知,0,读研期间，按时拷问可爱学妹，是我每天最大的乐趣之一。 学妹是本科部的，18岁，当时还在读大一，正是中二病高发期，看完《楚门的世界》后陷入了深刻的怀疑。 刚开始那段时间，她只是看到学校花园的绿植时，会暗中揣测那些花草会不会其实是假的，只不过视觉效果很真。只要自己花时间去细看，一定能看出端倪， 一段时间后，她开始怀疑自己的行为。…,https://www.zhihu.com/question/308515500/answer/2891178404
你发现过你家狗子的什么秘密？,未知,0,有段时间我过得很艰难，在医院被患者家属碰瓷；被安排了某些工作，也被领导莫名其妙地跳到deadline。 那段时间里，我一回家就只想颓废地躺在沙发上，感到莫名的烦躁和悲伤。 大黑狗会很小心地凑过来，把爪子轻轻搭在我的膝盖上，黑猫跳上沙发扒拉我的衣袖。 我当时以为它们只是馋嘴了，来讨吃的，又或者是猫砂被用完了，需要我去换。 于是我…,https://www.zhihu.com/question/573225116/answer/2889797287
一个天天把自杀摆在嘴边的人真的会自杀吗？,未知,0,可能是受影视作品的影响，很多人觉得“永别”之前，一定会有一场歇斯底里的争吵，一定有一次轰轰烈烈的告别，一定有一场一哭二闹三上吊的闹剧， 可其实不是的。 因为悲伤和愤怒其实并不是一件坏事，如果你会对一件事感到悲伤和愤怒，恰恰说明你还对这件事在意， 因为在意，所以你希望它变得好起来，因为它没有好起来，所以你才会感到悲伤， 同理，如…,https://www.zhihu.com/question/460735340/answer/2889423596
家长没车真的很丢人吗?,未知,0,这个问题很有意思。 昨天下午，我接诊了一位14岁的男生，他的情况和这个问题不完全相同，但本质上极为相似。 男生出生在一个小城镇，父母在当地经营着一个家具店，收入可观。在家具的制作和搬运过程中，时常会出现一些废料，比如多余的木板、硬纸板。 东西一多就碍事，于是父母提议：让孩子推着三轮车去卖废品，卖废品所得皆为他的零花钱。 这似乎…,https://www.zhihu.com/question/550405596/answer/2888012365
如何看待13岁男孩因体育考试18分被父亲用武士刀刺死，其父亲说“我只是想吓唬吓唬他”？,未知,0,武士刀只是表象，就算没有武士刀， 菜刀、水果刀、烟灰缸，它们都能变成武士刀。 我一直很想找个机会，为大家剖析一下“家暴”背后所潜藏的心理机制， 正好最近发生了这一幕悲剧，那我们不妨以此为例。 虽然根据新闻里这位父亲的描述，这件事的全程是： “当时我太生气了，拿起刀只是想吓唬一下孩子，但没想到却把他刺死了”， 但当我们把浮于表面的表…,https://www.zhihu.com/question/582678991/answer/2884483923
你有没有感觉人间才是地狱？,未知,0,这是四川射洪的某处精神病院，建在乡下，是我医生生涯开始的地方。 上面两张照片，已经是近两年翻修后的成果了，最近故地重游时才拍下， 我去的时候那里还没有红砖墙，没有娱乐设备，没有那么多专业医生， 只有通电的铁…,https://www.zhihu.com/question/420428840/answer/2882833443
如果你的辅导员掉水里了，你所学的专业能做什么？,未知,0,辅导员（拼命挣扎）：救命啊！！！咕噜咕噜咕噜... 我：哦？从你的语气里，我似乎感受到了某种焦虑，你可以描述一下你现在的感受吗？ 辅导员：别他妈废话了，快把我拉起来！咕噜咕噜咕噜... 我：你似乎格外强调“快”这个字？你觉得我的快慢，或者我的准时与否，会对你造成什么影响吗？ 辅导员：快把我拉起来，艹，我快不能呼吸了...咕噜咕…,https://www.zhihu.com/question/59409967/answer/2882550019
有哪些中国人特有的心理现象？,未知,0,大家或许曾注意到过一个特别有意思的现象： 我们身边存在着很多习俗，这些习俗通常是由身边的长辈教给我们的，但如果你细问他们这些习俗的实际意义，可能他们自己也说不出个所以然来。 而众所周知，中国人自古以来都是实用主义者，一件事物如果能经过上千年的时间洗礼而传承下来，那除了玄之又玄的仪式感，一定是具有某些实际意义的。 从这个角度思…,https://www.zhihu.com/question/346966980/answer/2881608865
《胡鑫宇请给心理指导师五分钟》一文为什么引起了争议？对青少年更好的心理指导应该是怎样的？,未知,0,我差点以为这封信是我写的。 19年左右，成都中学生自杀率再创新高，负责外宣的领导认为蹭热点的时候到了，准备大展身手，发一篇文章在网络上造势。 领导的几个御用笔杆子不敢接，认为此事专业性过高，还是交给专业科室的同事为妙， （说白了，就是怕背锅） 一轮轮击鼓传花后，这口黑锅严严实实地扣在了我的头上。 没办法，写吧。 众所周知，每个精神…,https://www.zhihu.com/question/582102554/answer/2879806309
23岁对《英雄联盟》真的算大吗？,未知,0,这个问题其实特别有意思。 我从开始从业到目前为止，见过不下15个和题主类似的少年， 他们都没有精神疾病，甚至没有心理问题，但还是被家属扭送进我们科室进行治疗，理由是“戒除网瘾”。 当然，我并不会对这些少年进行强制治疗，不过我依然通过聊天去了解他们的心态，发现他们在某些方面出现了惊人的一致： 他们和题主一样，都有一种很纠结的心理…,https://www.zhihu.com/question/576110991/answer/2878170175
身边有人轻生了是什么感受？,未知,0,高中的时候，我被一个同性喜欢，她的妈妈知道了，经常跑到学校里来闹，但她不知道我在哪个班。 我们学校每周星期一都要在操场上举行升旗仪式，她的妈妈又来了。她走上升旗台，用话筒喊我的名字，骂我婊子，耽误她女儿，说了很多不好听的话。 女生后来每次见到我，都拉着我的手跪下来哭，说对不起，对不起。我怎么拉都拉不起来。 我其实并不在意流言…,https://www.zhihu.com/question/359253187/answer/2875759784
胡鑫宇案过后，面对学生的不良心理状态，学校如何监测并加以疏导？,未知,0,我一直很想找个机会，为大家剖析一下厌学心理背后的本质， 很巧的是，昨天我正好接诊了一位高一学生，他的情况和胡鑫宇高度相似，我们不妨就以此为例。 他和胡鑫宇一样，生活在一个标准的留守儿童式家庭，父母均外出务工。收入不算太低，但也只是刚好维持生活。 他就读于一所私立学校，学费高昂（于他们的家庭条件而言）。 当时我刚结束完一例门诊，…,https://www.zhihu.com/question/581813336/answer/2875002370
胡某宇事件新闻发布会 2 月 2 日召开，当地将发布胡某宇事件最新调查情况，哪些信息值得关注？,未知,0,很多家长并没有意识到这一点： 当他们的孩子不仅各方面能比较正常地发展，甚至在某些方面还能透露出一股机灵劲时，其实就是一件相当值得感激的事了。 我们不妨开个脑洞，设想一下以下情况： 假如孩子在出生之前，可以自由选择让谁来当自己的父母，父母也可以自由选择让谁来当自己的孩子，会发生什么呢？ 我们会发现这样一个现象： 天资优异的孩子总是…,https://www.zhihu.com/question/581719864/answer/2872795592
失踪 106 天后，胡鑫宇遗体在学校附近被发现，哪些信息值得关注?,未知,0,不出意外的话，你的身边可能已经在流行这种说法了: 胡鑫宇这个孩子太自私了，他难道不知道自己的死会对父母造成多大的伤害吗？ 说出这种话的人，他们的思路是这样的: 胡鑫宇的生命并不属于自己，而是属于他的父母，因为父母给了他生命，还花钱花时间养活他。 他们感到惊讶，因为胡鑫宇居然敢擅自处理不属于自己的东西？！ 那么，胡鑫宇知道他的死会…,https://www.zhihu.com/question/581071124/answer/2869193482
怎么识别一个人是不是有抑郁症以及抑郁的程度？,未知,0,如果你身边有人处于高抑郁风险中，可你又没有足够的检测手段，其实有一种简单但相对有效的方法可以为你提供参考： 观察他的非自杀性自伤行为的频率和程度。（不想看论证过程的小伙伴，可以直接跳到文章末尾哦） 非自杀…,https://www.zhihu.com/question/267879501/answer/2857098926
怎么判断一个人是装抑郁还是真抑郁？,未知,0,如果你身边有人处于高抑郁风险中，可你又没有足够的检测手段，其实有一种简单但相对有效的方法可以为你提供参考： 观察他的非自杀性自伤行为的频率和程度。（不想看论证过程的小伙伴，可以直接跳到文章末尾哦） 非自杀…,https://www.zhihu.com/question/386317402/answer/2857098286
人类为什么会进化出心理疾病？,未知,0,给大家提供一个特别有趣的思路：心理疾病确实是进化的产物，它在某个特定的时期能起到积极作用，但对于现在这个时代，已经属于落后于时代的进化糟粕。 可能有点抽象，我们可以举个简单的例子： 我们中的绝大部分人都有一个“容易囤积脂肪”的性状。我们摄入了糖分后，除了一部分用于供能与合成糖原外，大部分总是用于合成脂肪。这个性状在以前那段…,https://www.zhihu.com/question/273442798/answer/2856144980
原神钟离是姓钟名离还是就叫钟离？,未知,0,去查了一下文献，现将资料总结如下： 1.钟离是姓还是名？ 答：姓 2.“钟离”和“钟”是一个姓吗？ 答：是，但又不完全是。 钟离姓和钟姓，虽然字不同，但本为同根生，均起源于春秋时期宋国的贵族。而宋国灭国后，贵族的后代们分居各地，定居今安徽省凤阳县一带的人姓“钟离”，而定居于颍川一带的人姓“钟”。 3.“钟离”姓的起源是怎样的？ 学术…,https://www.zhihu.com/question/468282171/answer/2853980568
背单词时该不该听音乐？,未知,0,这个问题很有意思，而且还真被学术界详细研究过。 先说结论： 1.如果你在记忆中文文章，可以适当听中文歌词的音乐或无歌词的纯音乐，但最好不要听英语等其他语言歌词的音乐； 2.如果你在记忆英语单词，可以适当听英…,https://www.zhihu.com/question/292353949/answer/2852160841
听着音乐背书是不是可以提高记忆效率？,未知,0,这个问题很有意思，而且还真被学术界详细研究过。 先说结论： 1.如果你在记忆中文文章，可以适当听中文歌词的音乐或无歌词的纯音乐，但最好不要听英语等其他语言歌词的音乐； 2.如果你在记忆英语单词，可以适当听英…,https://www.zhihu.com/question/53699697/answer/2852159946
怎么看出一个人有自杀前兆？,未知,0,众所周知，抑郁症患者家属最高兴的时候，往往是我们精神科医生最害怕的时候。 病情缓解后，家属当然会很高兴，因为在家属视角里，孩子自从得了重度抑郁症后，别说去学校学习了，他直接连床都不想下了。以前爱玩的游戏也不玩了，甚至连吃饭都吃不进去，做了他以前最爱吃的菜，最多也就吃一小口。 可自从来医院接受治疗后，孩子的情况好多了，愿意下…,https://www.zhihu.com/question/466686234/answer/2850992124
自己带孩子，还是交给父母带？,未知,0,其实这个的问题还真被心理学严肃研究过。 先说结论：建议自己带孩子。 目前已经有充分的研究表明，在母子依恋程度不够的情况下，祖孙依恋并不能对幼儿的社会−情绪性发展起到弥补作用 。 社会−情绪性发展：指孩子的…,https://www.zhihu.com/question/20647050/answer/2850934423
你觉得爱情和婚姻 真的有缘分这一说么？,未知,0,我曾经真的以为，死亡是离我这代人很遥远的事。 毕竟二十多岁，正当壮年。可自从大学毕业之后，总是陆续传来同学过世的消息。 有出车祸的，有突发心脏疾病的，有酒精中毒的。 有个名字很熟悉，他当年和我一起勾肩搭背着下黑网吧，我在旁边玩炫舞和偷菜，他在旁边打CF。 这些事仿佛就发生在昨天。 没人知道具体经过是怎么样的。沉寂已久的同学群突然…,https://www.zhihu.com/question/46364593/answer/2847913988
孟川在《答案奇遇夜》上称，年轻人省钱不如挣钱，到底是省钱重要还是挣钱重要？,未知,0,告诉大家一个很恐怖但又很无奈的事实：当你在纠结该省钱还是赚钱时，其实你已经被预判了会去狠狠地报复性消费了。你没有去报复性消费，很可能是因为你身边死的人还不够多。 大家可能都以为“开放”是最近几个月的事情…,https://www.zhihu.com/question/578481398/answer/2846498341
疫情政策放松了，你想出去报复消费吗？,未知,0,告诉大家一个很恐怖但又很无奈的事实：你没有去报复性消费，很可能是因为你身边死的人还不够多。 大家可能都以为“开放”是最近几个月的事情，所以相关研究应该大多聚焦在近段时间。但事实是：关于开放对消费的影响的…,https://www.zhihu.com/question/566081900/answer/2846495846
女生该怎么让男朋友给自己买东西呀？,未知,0,这个问题其实还真被严肃研究过。 如果你想让老婆同意你买Switch，或者让你老公同意你买包包和口红（滑稽）， 其实是有一套研究得相对透彻的心理学机制供你参考的：充分利用睡眠剥夺对你对象的影响。 （对论证过程…,https://www.zhihu.com/question/446442182/answer/2845104321
中国科研水平真的很差吗？,未知,0,某天，某本科毕业季的学生去买了篇论文，交上去后却还是过不了关，被打下来了，理由是数据部分不充分。 但他实在是没办法啊，论文都是买的，让他自己改怕不是在刁难他。 于是，他自己编了数据以及部分结果。 其实还是有点驴臀不对马嘴，但评审不想为难他了，都是出来混口饭吃，打工人何必为难打工人。 于是捏着鼻子，睁一只眼闭一只眼，毕业论文过了…,https://www.zhihu.com/question/20353976/answer/2844999635
“思想钢印”是否存在于现实生活?,未知,0,这个问题很有趣，先说结论：存在。不仅存在，我接下来还会教你如何科学有效地为自己或者别人打上“思想钢印”。（不想看论证过程的小伙伴，可以直接跳到文章最后面哦） 在目前的心理学研究中，确实有一个和“思想钢印…,https://www.zhihu.com/question/307079688/answer/2844122039
你见过最厉害的医生是什么样的？,未知,0,规培期间，我去产科轮转，遇到了一位对我很好的老医生。 五十多岁，再强悍的人都该初显疲态了，但她没有，永远精神抖擞，瘦小的个子走路带风。 好像有用不完的精力，不仅临床上事无巨细都要自己动手，而且还在医学院供职，科研、教学一把抓，堪称吾辈楷模。 有一点是我最尊敬的：她的收入真的完全是来源于工资和绩效等，一点灰色不沾。 医生和患者都…,https://www.zhihu.com/question/566584952/answer/2843580450
有哪些瞬间让你觉得本科生和专科生有差距？,未知,0,我可能是感触最深的人之一。 研二那年，导师的助教出了车祸，我被迫顶班。 那年恰逢学校一鼓作气，准备提升自己的评级。为了扩大体量，一所医专被并入其中。 我和导师天天在本科校区和专科校区间奔波。 有次正好开车进校门，发现专科校区的装修完成了，不仅教学楼翻新，还修了几处小花园和喷泉。我打趣说现在专科这边比本科精致多了，专科的孩子们前…,https://www.zhihu.com/question/293960270/answer/2843561589
心理学领域有什么鲜为人知的冷知识？,未知,0,如果你想做一个局，去坑一下你的某位冤大头朋友，比如让他掏钱买单，又或者在入股时多掏点钱（滑稽）， 其实是有一套研究的很透彻的心理机制供你参考的： 充分利用他的道德伪善和道德正直。 道德伪善(moral hy…,https://www.zhihu.com/question/577543426/answer/2841813733
如何摆脱或者反击一直吊着你的女生？,未知,0,如果你想教训某个不知好歹的女生，甚至是让她对你产生生理加心理的双重恐惧，（滑稽） 其实是有一套研究得很透彻的心理学机制供你参考的： 充分利用 女性生理周期对条件性恐惧习得和消退的影响。 条件性情境恐惧：指一…,https://www.zhihu.com/question/363256607/answer/2841803194
有哪些道理你后悔知道的太迟了?,未知,0,如果你想做一个局，去坑一下你的某位冤大头朋友，比如让他掏钱买单，又或者在入股时多掏点钱（滑稽）， 其实是有一套研究的很透彻的心理机制供你参考的： 充分利用他的道德伪善和道德正直。 道德伪善(moral hy…,https://www.zhihu.com/question/442879082/answer/2840645469
如何评价2022年B站百大UP主？,未知,0,不知为何，每次看到这个问题，我都感到一种莫名的难过。 一种每个B站老用户都会有的难过。 我是一个很喜欢网上冲浪的人，每次看B站的百大年会，都会发现居然关注了上面的一小半人。按理来说，在写这个问题下的文章时，应该会有数不清的点滴浮现吧。 可深吸一口气后，脑海里始终只有两个UP主的身影一直在打转， 刘庸和杀心成焚。 我是一个从200…,https://www.zhihu.com/question/577103562/answer/2840274997
为什么越长大越对二次元反感了?,未知,0,众所周知，如果你想对一个心理咨询师造成会心一击，你就直接说他不像咨询师，而是像个居委会大妈， 但我这个咨询师还真被居委会大妈教育过。 前几年，我特别苦恼一件事：完全无法和一些宗教的信徒沟通。 比如我有位来访者是一名佛教徒，我和她一起讨论一场车祸， 在我和绝大多数人的视角里，这场车祸的因果是这样的： 司机在河边钓鱼，踩了一脚的湿泥…,https://www.zhihu.com/question/408307154/answer/2840096407
儿童精神科挤满抑郁症小患者，儿童抑郁症为何高发？当发现孩子有心理问题时，应该怎么办？,未知,0,遗憾的是，无论是我个人的临床观察，还是目前最新的心理学研究，都确凿无疑地表露了这样一个事实： 1.不良的亲子依恋是导致儿童抑郁症状的重要影响因素 2.亲子依恋对儿童的影响会因儿童对环境的生物敏感性不同而存…,https://www.zhihu.com/question/505080433/answer/2838390405
为什么现在那么多小孩得抑郁？,未知,0,遗憾的是，无论是我个人的临床观察，还是目前最新的心理学研究，都确凿无疑地表露了这样一个事实： 1.不良的亲子依恋是导致儿童抑郁症状的重要影响因素 2.亲子依恋对儿童的影响会因儿童对环境的生物敏感性不同而存…,https://www.zhihu.com/question/486206053/answer/2838389289
杀狐狸会遭报应吗？,未知,0,不知为何，这问题看得我心头一颤…,https://www.zhihu.com/question/415684178/answer/2837644275
如何一眼看透领导？,未知,0,如果你想整点骚操作，比如去探探你领导背后的水有多深（滑稽）， 其实是有一套研究的十分透彻的心理学机制供你参考的： 看组织政治感知对你领导产生自我耗竭的影响程度。 组织政治指的是工作环境中充斥着追求自利 而不…,https://www.zhihu.com/question/419661627/answer/2837155990
哪些事是你当了领导才明白的？,未知,0,如果你想整点骚操作，比如去探探你领导背后的水有多深（滑稽）， 其实是有一套研究的十分透彻的心理学机制供你参考的： 看组织政治感知对你领导产生自我耗竭的影响程度。 组织政治指的是工作环境中充斥着追求自利 而不…,https://www.zhihu.com/question/68467783/answer/2837111111
你知道哪些在医院「暴露人性」的故事？,未知,0,规培期间，我去产科轮转，遇到了一位对我很好的老医生。 五十多岁，再强悍的人都该初显疲态了，但她没有，永远精神抖擞，瘦小的个子走路带风。 好像有用不完的精力，不仅临床上事无巨细都要自己动手，而且还在医学院供职，科研、教学一把抓，堪称吾辈楷模。 有一点是我最尊敬的：她的收入真的完全是来源于工资和绩效等，一点灰色不沾。 医生和患者都…,https://www.zhihu.com/question/47451561/answer/2836824251
实习医生遇到过哪些搞笑事情?,未知,0,大四那年，我去精神专科医院实习，被师兄和同级看不起。 其实不怪他们，是我自己一门心思扑在考研复习，而实习却摆烂， 带教老师提问，我的同级们踊跃回答，就我独自一人默不作声（因为我答不上来）， 让做一些简单操作，我的同级们积极参加，我在旁边摸鱼（因为我不会）。 某天，我考研复习到内分泌章节，背完胰岛素瘤就去医院了。 一个病人被送了进…,https://www.zhihu.com/question/576365211/answer/2836080355
你知道的最冷的冷知识是什么？,未知,0,1.有相当多的历史名人并未死于悲剧，而是死于悲剧后被医生割腕而流血而死。 美国初代总统华盛顿、世界级音乐家莫扎特、英国国王查理二世的共同死因：被人割腕活活流血流死。 与古代中国相对系统化的中医不同，古代和近代的欧洲国家的医学理论充满了“想象力”：他们认为人会生病是因为血液过多， 他们根据希波克拉底的“四体液”学说认为：疾病是…,https://www.zhihu.com/question/51459956/answer/2835359216
尼采为什么批判怜悯心和同情？,未知,0,现在，身为哲学家的你上了一辆公交车，车上所有座位都坐满了人。 车上有一个座位是专门为老年人设立的“博爱座”，不过现在，这个座位被一个年轻男人占据了。 这时，一位老奶奶上了车。她杵着拐杖，腿脚十分不便，很需要一个座位。 有一位小姐虽然自己也没有座位，但她很心疼老奶奶，于是大喊着让有座位的人们让座。 最后，一位男士起身让座（不是占…,https://www.zhihu.com/question/50618182/answer/2835140004
思念到极致是什么感觉？,未知,0,昨晚，我和我的舅舅一起喝酒。他是个强悍得有点可怕的男人，14年敢贷款买比特币，以退学为要挟逼家人在成都市区买房。 现在他是某500强的董秘，腰缠万贯。但这样一个男人却像个喝醉的傻逼，抱着我的腿说老婆别走。 我踹了他一脚，说老舅你喝蒙了吗，我是你外甥女。而且你打了十几年光棍，有个屁的老婆。 然后他不抱我了，改成抱树，我拉都拉不…,https://www.zhihu.com/question/31914864/answer/2834677436
《自然》最新论文称「发现与发明的突破性都随时间流逝而下降」，如何看待这一研究？科学技术的发展停滞了吗？,未知,0,极致省流：从该作者本身使用的研究和调查方法来看，内容没什么问题，但跳出来看 就会发现有不少疑点。 暂时先挑几个最明显的： 问题1.统计的研究领域很有限。 虽然作者称“无论哪个学科”的突破性都在下降，但实际上文章只重点列举了生命科学、生物医学等5个领域的数据，其他领域的数据被较为“笼统”地概括掉了，我甚至不知道怎么去证伪。 问题…,https://www.zhihu.com/question/576918248/answer/2834345405
如何判断一个人是什么阶层？,未知,0,如果你想探一探某人的底，比如你那个总是在装逼的室友，或者是你的相亲对象（滑稽） 其实是有一套研究得很透彻的心理机制供你参考的： 看他面对重大的恶性案件时，他对利他性惩罚的态度如何。 利他性惩罚(altrui…,https://www.zhihu.com/question/52286414/answer/2834168720
装逼成功是种怎样的体验？,未知,0,大四那年，我去精神专科医院实习，被师兄和同级看不起。 其实不怪他们，是我自己一门心思扑在考研复习，而实习却摆烂， 带教老师提问，我的同级们踊跃回答，就我独自一人默不作声（因为我答不上来）， 让做一些简单操作，我的同级们积极参加，我在旁边摸鱼（因为我不会）。 某天，我考研复习到内分泌章节，背完胰岛素瘤就去医院了。 一个病人被送了进…,https://www.zhihu.com/question/37018823/answer/2833821505
知乎写文一直扑是一种什么样的感受?,未知,0,我可能是知乎最奇葩的创作者之一。 如果你也有想在知乎创作的欲望、或你正在尝试创作，我的心路历程可能对你有所帮助。 就我的观察而言，处于我这个阶段的创作者大多处于一种“叫好不叫座”的状态，即： 粉丝量起来了，但阅读量、点赞量一般都不高，甚至会出现一篇文章一个多月只有个位数点赞的情况。 但灰色幽默的是，我和绝大多数同期的创作者是反…,https://www.zhihu.com/question/479620204/answer/2833067369
为什么绝大多数人都不喜欢思考？,未知,0,其实“不喜欢思考”只是一个现象，而不是原因。 不喜欢思考的本质，是因为内心精神需求的极度匮乏。 我们可以举一个看似关联不大的例子来引入正题： 你的身边或许存在海皇海后，他们换对象比换内裤还勤。我最初的分析是他们本性很“渣”，天生就热衷于开启不同的亲密关系。 但在心理咨询时实际接触到几个真实案例，以及观察身边真实存在的案例后，我…,https://www.zhihu.com/question/24461538/answer/2832599207
你介意你的精神科医生曾经或现在患有双相情感障碍吗?,未知,0,省流：取决于你的就诊目的。 1.如果你的就诊目的是通过门诊高效缓解病情，那精神科医生本身怎么样其实没什么关系; 2.如果你的目的是通过咨询发现病因，以及理清病情发展脉络，那医生本身的情况会对咨询效果产生极大的影响。 原因很简单： 精神科门诊本质上是一种数据分析的思维，而心理咨询的本质是“功能租借”。 我们假设你是一位心理咨询师，…,https://www.zhihu.com/question/512388916/answer/2832417889
心理咨询从本质上来说是什么？,未知,0,功能租借。 心理咨询的本质是“功能租借”。 我们假设你是一位心理咨询师，现在一位患者向你求助。 我们要治疗/解决他的问题，所以至少要先发现他的问题吧？ 但患者出现了心理功能的障碍，所以往往发现不了自己的问题。我们作为一个人格功能、心理功能都完善的咨询师，相当于要在咨询过程中将我们的健全的人格功能、心理功能租借给他，让他带着完整…,https://www.zhihu.com/question/560206185/answer/2832344436
杀心成焚发生什么事情了？,未知,0,"舍生取义，杀心成焚。 昨日青丝，冢间红骨。 月色晚来枯，吊唱相和无。 悲喜总无泪也,是人间白发,剑胆成灰。 琴木萧萧也，弦尽时，秋风低回，莫问从头。 英雄总无路,天下千年酒,不解此一愁！ 杀心成焚身上发生了什么事？ 他杀心成焚，剑胆成灰了。…",https://www.zhihu.com/question/548622030/answer/2831564164
老婆婚内出轨，男人真的一辈子走不出阴影吗？,未知,0,昨晚，我和我的舅舅一起喝酒。他是个强悍得有点可怕的男人，14年敢贷款买比特币，以退学为要挟逼家人在成都市区买房。 现在他是某500强的董秘，腰缠万贯。但这样一个男人却像个喝醉的傻逼，抱着我的腿说老婆别走。 我踹了他一脚，说老舅你喝蒙了吗，我是你外甥女。而且你打了十几年光棍，有个屁的老婆。 然后他不抱我了，改成抱树，我拉都拉不…,https://www.zhihu.com/question/570793895/answer/2830979214
在蒙古包过夜，看见女主床头系的红绳，应该注意什么？,未知,0,高赞营销号看得我头都大了，干脆自己去图书馆和网络上查了一下民俗资料， 现将目前的资料总结如下： 1.系红绳目的：异性之间避嫌 2.习俗由来：目前没查到任何典故说明这个习俗的由来，有一种说法为:“系红绳”是近…,https://www.zhihu.com/question/554593126/answer/2830670806
你身边的校园暴力有多恐怖？,未知,0,我曾就读于一个差劲到极点的中学，初中和高中都是。而差劲的也不是一个人或是一个班，而是全部人，全部班，全部。 学校仿佛只是一个用来补觉和娱乐的地方，每天早上，清晨的阳光照进来时，十六七岁的男孩女孩们疲惫地来到教室，然后大吼大叫地坐下。 谁也不知道他们昨晚去了哪，干了些什么。 之后他们睡觉的趴在桌子上睡觉，打游戏的打游戏。而且那…,https://www.zhihu.com/question/63759814/answer/2829547626
有没有哪些前辈踩过的坑要分享给医学生?,未知,0,本回答可能是目前最详细的精神科生存指南。 写给精神医学或有志于精神医学的本科生、规培生们： 我亲爱的学弟学妹们，别以为我不知道你们精致的小脑瓜里整天在想些什么， 在教务处看了眼你们的教学计划，和我当年没什么…,https://www.zhihu.com/question/386128042/answer/2829295572
请问，你现在为什么还一直单身？,未知,0,高中的时候，我被一个同性喜欢，她的妈妈知道了，经常跑到学校里来闹，但她不知道我在哪个班。 我们学校每周星期一都要在操场上举行升旗仪式，她的妈妈又来了。她走上升旗台，用话筒喊我的名字，骂我婊子，耽误她女儿，说了很多不好听的话。 女生后来每次见到我，都拉着我的手跪下来哭，说对不起，对不起。我怎么拉都拉不起来。 我其实并不在意流言…,https://www.zhihu.com/question/457922593/answer/2828968105
